"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_3516","638108490","5419868","5420236","-","0.35","369","123","protein of unknown function DUF156","113477018","4244341","-"
"Tery_3517","638108491","5420313","5421527","+","0.33","1215","405","peptidase S1 and S6, chymotrypsin/Hap","113477019","4244342","-"
"Tery_3518","638108492","5421774","5422025","+","0.33","252","84","hypothetical protein","113477020","4244343","-"
"Tery_3519","638108493","5422333","5423190","-","0.3","858","286","conserved hypothetical protein","113477021","4244344","-"
"Tery_3520","639331695","5423546","5424217","+","0.35","672","224","-","-","-","-"
"Tery_R0034","640717062","5424986","5425170","-","0.42","185","-","miscRNA ","-","4244346","-"
"Tery_3521","638108494","5426489","5426722","+","0.34","234","78","hypothetical protein","113477022","4244347","-"
"Tery_3522","638108495","5426895","5427401","-","0.34","507","169","pentapeptide repeat","113477023","4244348","-"
"Tery_3523","638108496","5427618","5428895","+","0.39","1278","426","seryl-tRNA synthetase( EC:6.1.1.11 )","113477024","4244349","-"
"Tery_3524","638108497","5429727","5432135","+","0.37","2409","803","protein of unknown function DUF323","113477025","4244350","-"
"Tery_3525","638108498","5432786","5433997","-","0.32","1212","404","aminotransferase, class I and II( EC:2.6.1.1 )","113477026","4244351","-"
"Tery_3526","638108499","5434323","5435174","-","0.32","852","284","alpha/beta hydrolase fold","113477027","4244352","-"
"Tery_3527","639331696","5436313","5436881","-","0.33","569","189.6666667","-","-","-","-"
"Tery_3528","638108500","5436929","5437588","-","0.36","660","220","hypothetical protein","113477028","4244354","-"
"Tery_3529","638108501","5437935","5440724","+","0.38","2790","930","protein of unknown function DUF323","113477029","4244355","-"
"Tery_3530","638108502","5442199","5443665","+","0.35","1467","489","ATP-dependent DNA helicase, RecQ family( EC:3.6.1.- )","113477030","4244356","-"
"Tery_3531","638108503","5443751","5444248","-","0.31","498","166","lipoprotein signal peptidase( EC:3.4.23.36 )","113477031","4244357","lspA"
"Tery_3532","638108504","5444701","5445285","-","0.34","585","195","BioY protein","113477032","4244358","-"
"Tery_3533","638108505","5445853","5446965","-","0.41","1113","371","biotin synthase( EC:2.8.1.6 )","113477033","4244359","-"
"Tery_3534","638108506","5447888","5448973","+","0.37","1086","362","phosphate ABC transporter, periplasmic phosphate-binding protein","113477034","4244360","-"
"Tery_3537","638108508","5450918","5451994","+","0.38","1077","359","phosphate ABC transporter, periplasmic phosphate-binding protein","113477036","4244286","-"
"Tery_3538","638108509","5452205","5453191","+","0.34","987","329","phosphate ABC transporter, inner membrane subunit PstC","113477037","4244287","-"
"Tery_3539","638108510","5453262","5454149","+","0.36","888","296","phosphate ABC transporter, inner membrane subunit PstA","113477038","4244288","-"
"Tery_3540","638108511","5454517","5455338","+","0.36","822","274","response regulator receiver protein( EC:3.6.3.27 )","113477039","4244289","-"
"Tery_3541","638108512","5456566","5456736","-","0.35","171","57","conserved hypothetical protein","113477040","4244290","-"
"Tery_3542","638108513","5458122","5458682","+","0.37","561","187","conserved hypothetical protein","113477041","4244291","-"
"Tery_3543","638108514","5458898","5459155","-","0.34","258","86","conserved hypothetical protein","113477042","4244292","-"
"Tery_3544","638108515","5459828","5462536","+","0.37","2709","903","sulfite reductase, ferredoxin dependent( EC:1.8.7.1 )","113477043","4244293","-"
"Tery_3545","638108516","5463130","5463906","+","0.35","777","259","protein of unknown function DUF558( EC:2.1.1.- )","113477044","4244294","-"
"Tery_3546","638108517","5465054","5466169","+","0.33","1116","372","COG0457: FOG: TPR repeat","113477045","4244295","-"
"Tery_3547","639331698","5467159","5467947","+","0.31","789","263","-","-","-","-"
"Tery_3548","638108518","5468356","5468850","-","0.37","495","165","hypothetical protein","113477046","4244297","-"
"Tery_3549","638108519","5469111","5469746","+","0.32","636","212","lipase, class 2( EC:3.1.1.3 )","113477047","4244298","-"
"Tery_3550","639331699","5470438","5470980","-","0.25","543","181","-","-","-","-"
"Tery_3551","638108520","5471840","5472277","-","0.32","438","146","Glyoxalase/bleomycin resistance protein/dioxygenase","113477048","4244300","-"
"Tery_3552","638108521","5472378","5472710","-","0.32","333","111","glyoxalase family protein","113477049","4244301","-"
"Tery_3558","638108527","5474963","5475748","+","0.38","786","262","protein of unknown function DUF92, transmembrane","113477055","4244307","-"
"Tery_3559","638108528","5476434","5477198","+","0.3","765","255","PpiC-type peptidyl-prolyl cis-trans isomerase","113477056","4244308","-"
"Tery_3560","639331700","5477396","5477791","+","0.29","396","132","-","-","-","-"
"Tery_3561","638108529","5478000","5478143","+","0.32","144","48","conserved hypothetical protein","113477057","4244310","-"
"Tery_3562","638108530","5478716","5479318","-","0.36","603","201","nitroreductase","113477058","4244311","-"
"Tery_3563","638108531","5479413","5480288","-","0.34","876","292","NmrA-like","113477059","4244312","-"
"Tery_3564","638108532","5480746","5481531","-","0.36","786","262","exodeoxyribonuclease III( EC:3.1.11.2 )","113477060","4244313","-"
"Tery_3565","638108533","5482056","5482604","-","0.33","549","183","conserved hypothetical protein","113477061","4244314","-"
"Tery_3566","638108534","5483039","5483656","+","0.27","618","206","hypothetical protein","113477062","4244315","-"
"Tery_3567","638108535","5483724","5484596","+","0.34","873","291","phospholipase/Carboxylesterase","113477063","4244316","-"
"Tery_3568","638108536","5484593","5487043","+","0.41","2451","817","protein of unknown function DUF608","113477064","4244317","-"
"Tery_3569","638108537","5487633","5488577","+","0.32","945","315","Tetratricopeptide TPR_2","113477065","4244318","-"
"Tery_3570","638108538","5488977","5491328","+","0.32","2352","784","putative signal transduction protein with Nacht domain","113477066","4244319","-"
"Tery_3571","638108539","5491398","5497982","+","0.39","6585","2195","putative signal transduction protein with Nacht domain","113477067","4244320","-"
"Tery_3572","638108540","5498570","5498812","-","0.33","243","81","hypothetical protein","113477068","4244321","-"
"Tery_3573","638108541","5498984","5499541","-","0.37","558","186","pentapeptide repeat","113477069","4244322","-"
"Tery_3574","638108542","5500175","5501224","-","0.35","1050","350","Rieske (2Fe-2S) region","113477070","4244323","-"
"Tery_3575","638108543","5501991","5503475","+","0.32","1485","495","GAF sensor signal transduction histidine kinase","113477071","4244324","-"
"Tery_3576","638108544","5503569","5503916","+","0.31","348","116","histidine kinase","113477072","4244209","-"
"Tery_3577","638108545","5504267","5506213","-","0.33","1947","649","amine oxidase( EC:5.4.99.9 )","113477073","4244210","-"
"Tery_3578","639331701","5507137","5507391","-","0.38","255","85","-","-","-","-"
"Tery_3579","639331702","5507511","5507996","+","0.3","486","162","-","-","-","-"
"Tery_3580","638108546","5508138","5508824","-","0.33","687","229","hypothetical protein","113477074","4244213","-"
"Tery_3582","638108547","5509650","5510867","-","0.31","1218","406","McrBC 5-methylcytosine restriction system component-like","113477075","4244215","-"
"Tery_3583","638108548","5510931","5512550","-","0.35","1620","540","ATPase associated with various cellular activities, AAA_5","113477076","4244216","-"
"Tery_3584","638108549","5512695","5513135","-","0.28","441","147","similar to Uncharacterized conserved protein","113477077","4244217","-"
"Tery_3585","638108550","5513152","5515257","-","0.3","2106","702","GCN5-related N-acetyltransferase","113477078","4244218","-"
"Tery_3586","638108551","5515788","5519246","+","0.39","3459","1153","isoleucyl-tRNA synthetase( EC:6.1.1.5 )","113477079","4244219","-"
"Tery_3587","639331704","5519369","5519764","+","0.26","396","132","-","-","-","-"
"Tery_3588","638108552","5519764","5520264","+","0.28","501","167","hypothetical protein","113477080","4244221","-"
"Tery_3589","638108553","5520725","5521060","+","0.31","336","112","conserved hypothetical protein","113477081","4244222","-"
"Tery_3592","639331706","5523551","5524511","-","0.3","961","320.3333333","-","-","-","-"
"Tery_3593","638108555","5529266","5532559","+","0.37","3294","1098","PEP-utilising enzyme, mobile region( EC:2.7.9.2 )","113477083","4244226","-"
"Tery_3594","638108556","5532885","5533385","-","0.27","501","167","hypothetical protein","113477084","4244227","-"
"Tery_3595","639331707","5533385","5533780","-","0.27","396","132","-","-","-","-"
"Tery_3598","638108558","5536705","5537391","-","0.31","687","229","conserved hypothetical protein","113477086","4244231","-"
"Tery_3600","638108560","5538683","5539066","-","0.32","384","128","transposase","113477088","4244233","-"
"Tery_3601","638108561","5539067","5539255","-","0.3","189","63","conserved hypothetical protein","113477089","4244234","-"
"Tery_3602","639331709","5540151","5540513","+","0.27","363","121","-","-","-","-"
"Tery_3603","638108562","5542528","5543496","+","0.36","969","323","cyclic nucleotide-binding protein( EC:4.2.3.3 )","113477090","4244236","-"
"Tery_3604","638108563","5543780","5544061","-","0.31","282","94","putative transposase","113477091","4244237","-"
"Tery_3605","639331710","5544166","5544932","-","0.26","767","255.6666667","-","-","-","-"
"Tery_3607","638108565","5547340","5548521","-","0.32","1182","394","TPR repeat","113477093","4244240","-"
"Tery_3608","639331711","5549313","5549947","+","0.28","635","211.6666667","-","-","-","-"
"Tery_3609","638108566","5550523","5551482","+","0.34","960","320","glycosyl transferase, family 2","113477094","4244242","-"
"Tery_3612","639331712","5553686","5554168","+","0.25","483","161","-","-","-","-"
"Tery_3613","638108569","5554346","5554651","+","0.29","306","102","transposase","113477097","4244246","-"
"Tery_3614","638108570","5555019","5556713","+","0.32","1695","565","conserved hypothetical protein","113477098","4244247","-"
"Tery_3615","639331713","5557813","5558130","-","0.3","318","106","-","-","-","-"
"Tery_3616","638108571","5559755","5560525","-","0.39","771","257","putative transcriptional regulator, Crp/Fnr family","113477099","4244133","-"
"Tery_3617","638108572","5560800","5561702","+","0.34","903","301","DALR anticodon binding","113477100","4244134","-"
"Tery_3618","638108573","5562093","5562518","+","0.34","426","142","COG3011: Uncharacterized protein conserved in bacteria","113477101","4244135","-"
"Tery_3619","638108574","5563176","5563982","-","0.37","807","269","COG0477: Permeases of the major facilitator superfamily","113477102","4244136","-"
"Tery_3620","638108575","5564312","5564803","-","0.33","492","164","crossover junction endodeoxyribonuclease RuvC( EC:3.1.22.4 )","113477103","4244137","ruvC"
"Tery_3621","639331714","5565023","5565358","-","0.26","336","112","-","-","-","-"
"Tery_3622","638108576","5567156","5568373","-","0.39","1218","406","magnesium chelatase ATPase subunit I( EC:6.6.1.1 )","113477104","4244139","-"
"Tery_3623","638108577","5568997","5569824","+","0.41","828","276","Dihydrodipicolinate reductase( EC:1.3.1.26 )","113477105","4244140","-"
"Tery_3624","638108578","5569827","5570786","-","0.37","960","320","COG0477: Permeases of the major facilitator superfamily","113477106","4244141","-"
"Tery_3625","638108579","5571978","5572649","-","0.37","672","224","conserved hypothetical protein","113477107","4244142","-"
"Tery_R0035","640717063","5573494","5573567","+","0.58","74","-","tRNA-Arg-TCT ","-","4244143","-"
"Tery_3626","638108581","5574671","5575789","-","0.34","1119","373","calcium/proton antiporter, CaCA family","113477108","4244144","-"
"Tery_3627","639331715","5577446","5578375","+","0.25","930","310","-","-","-","-"
"Tery_3629","638108582","5579819","5582314","-","0.37","2496","832","ATPase, P-type (transporting), HAD superfamily, subfamily IC","113477109","4244147","-"
"Tery_3630","639331717","5583809","5584057","-","0.28","249","83","-","-","-","-"
"Tery_3631","639331718","5585269","5585673","+","0.36","405","135","-","-","-","-"
"Tery_3632","639331719","5585824","5586195","+","0.36","372","124","-","-","-","-"
"Tery_3633","638108583","5586330","5587103","+","0.36","774","258","hypothetical protein","113477110","4244151","-"
"Tery_3634","638108584","5587676","5589340","+","0.41","1665","555","RNA-directed DNA polymerase (Reverse transcriptase)","113477111","4244152","-"
"Tery_3635","638108585","5590250","5590597","+","0.4","348","116","RNA-directed DNA polymerase","113477112","4244153","-"
"Tery_3638","638108588","5593048","5593239","-","0.41","192","64","ParB family chromosome partitioning protein","113477115","4244156","-"
"Tery_3639","638108589","5593511","5593765","-","0.39","255","85","hypothetical protein","113477116","4244157","-"
"Tery_3640","638108590","5595812","5597071","+","0.34","1260","420","ParB-like nuclease","113477117","4244158","-"
"Tery_3641","638108591","5597273","5598328","+","0.33","1056","352","hypothetical protein","113477118","4244159","-"
"Tery_3642","638108592","5598330","5600006","+","0.36","1677","559","ATPase-like","113477119","4244160","-"
"Tery_3643","638108593","5600692","5601420","+","0.37","729","243","hypothetical protein","113477120","4244161","-"
"Tery_3644","638108594","5601608","5601922","+","0.37","315","105","hypothetical protein","113477121","4244162","-"
"Tery_3645","638108595","5602599","5605304","-","0.39","2706","902","DNA mismatch repair protein MutS","113477122","4244163","-"
"Tery_3646","638108596","5605869","5606108","+","0.39","240","80","hypothetical protein","113477123","4244164","-"
"Tery_3648","639331720","5607228","5608058","-","0.28","831","277","-","-","-","-"
"Tery_3649","638108598","5608746","5609231","-","0.42","486","162","allophycocyanin, beta subunit","113477125","4244167","-"
"Tery_3650","638108599","5609420","5609905","-","0.4","486","162","Phycobilisome protein","113477126","4244168","-"
"Tery_3651","639331721","5610451","5610744","+","0.31","294","98","-","-","-","-"
"Tery_3654","638108602","5611983","5612993","-","0.39","1011","337","phosphoribulokinase/uridine kinase( EC:2.7.1.19 )","113477129","4243960","-"
"Tery_3655","639331722","5614023","5614349","+","0.24","327","109","-","-","-","-"
"Tery_3657","638108604","5614688","5614786","+","0.29","99","33","putative transposase gene of IS630 family insertion sequence ISY100h","113477131","4243963","-"
"Tery_3658","638108605","5615206","5616423","+","0.39","1218","406","oxidoreductase FAD/NAD(P)-binding( EC:1.18.1.2 )","113477132","4243964","-"
"Tery_3659","638108606","5617272","5617796","+","0.41","525","175","conserved hypothetical protein","113477133","4243965","-"
"Tery_3660","638108607","5618966","5619670","-","0.37","705","235","REG-2-like, HAD superfamily (subfamily IA) hydrolase","113477134","4243966","-"
"Tery_3661","638108608","5619744","5620940","-","0.39","1197","399","FAD-dependent pyridine nucleotide-disulphide oxidoreductase( EC:1.6.99.3 )","113477135","4243967","-"
"Tery_3662","638108609","5621371","5621856","-","0.31","486","162","COG0457: FOG: TPR repeat","113477136","4243968","-"
"Tery_3663","638108610","5622376","5623290","+","0.38","915","305","alpha/beta hydrolase fold( EC:3.8.1.5 )","113477137","4243969","-"
"Tery_3664","638108611","5623544","5625580","-","0.42","2037","679","Hemolysin-type calcium-binding region","113477138","4243970","-"
"Tery_3665","638108612","5625975","5626160","+","0.32","186","62","hypothetical protein","113477139","4243971","-"
"Tery_3666","638108613","5626403","5627158","-","0.37","756","252","hypothetical protein","113477140","4243972","-"
"Tery_3667","638108614","5627133","5628203","-","0.35","1071","357","regulatory protein CII","113477141","4243973","-"
"Tery_3668","638108615","5628467","5630566","+","0.39","2100","700","pentapeptide repeat","113477142","4243974","-"
"Tery_3669","639331723","5631219","5631539","+","0.28","321","107","-","-","-","-"
"Tery_3670","638108617","5631749","5632354","+","0.34","606","202","DNA binding domain, excisionase family","113477143","4243977","-"
"Tery_3671","638108618","5632783","5633388","+","0.3","606","202","hypothetical protein","113477144","4243978","-"
"Tery_3672","638108619","5633961","5635901","-","0.35","1941","647","PBS lyase HEAT-like repeat","113477145","4243979","-"
"Tery_3673","638108620","5636193","5637668","-","0.35","1476","492","ABC transporter related( EC:3.6.3.17 )","113477146","4243980","-"
"Tery_3674","638108621","5637974","5639041","-","0.34","1068","356","basic membrane lipoprotein","113477147","4243981","-"
"Tery_3675","638108622","5639476","5640261","+","0.31","786","262","hypothetical protein","113477148","4243982","-"
"Tery_3676","638108623","5640363","5641190","+","0.4","828","276","hypothetical protein","113477149","4243983","-"
"Tery_3677","638108624","5641369","5645715","+","0.43","4347","1449","TPR repeat","113477150","4243984","-"
"Tery_3678","638108625","5645835","5647304","-","0.4","1470","490","monooxygenase, FAD-binding","113477151","4243985","-"
"Tery_3679","638108626","5647774","5648262","-","0.39","489","163","DoxX","113477152","4243986","-"
"Tery_3680","638108627","5648798","5650267","-","0.38","1470","490","monooxygenase, FAD-binding","113477153","4243987","-"
"Tery_3681","638108628","5650391","5652385","-","0.39","1995","665","serine/threonine protein kinase with WD40 repeats( EC:2.7.11.17 )","113477154","4243988","-"
"Tery_3682","638108629","5653497","5654852","+","0.33","1356","452","FAD linked oxidase-like","113477155","4243989","-"
"Tery_3683","638108630","5655409","5658126","+","0.33","2718","906","DEAD/DEAH box helicase-like","113477156","4243990","-"
"Tery_3684","638108631","5658430","5658603","-","0.41","174","58","Delta-aminolevulinic acid dehydratase-like","113477157","4243991","-"
"Tery_3685","638108632","5658701","5659006","-","0.3","306","102","hypothetical protein","113477158","4243992","-"
"Tery_3686","638108633","5659327","5660199","-","0.37","873","291","methylthioadenosine phosphorylase( EC:2.4.2.28 )","113477159","4243993","-"
"Tery_3687","638108634","5661000","5661851","-","0.39","852","284","protein of unknown function DUF1092","113477160","4243994","-"
"Tery_3688","638108635","5662843","5664108","+","0.39","1266","422","aminotransferase, class I and II( EC:2.6.1.66 )","113477161","4243995","avtA"
"Tery_3689","638108636","5664377","5665081","+","0.31","705","235","hypothetical protein","113477162","4243864","-"
"Tery_3690","638108637","5665392","5666594","-","0.41","1203","401","amidohydrolase( EC:3.5.1.14 )","113477163","4243865","-"
"Tery_3691","638108638","5668144","5669160","+","0.4","1017","339","inner-membrane translocator","113477164","4243866","-"
"Tery_3692","638108639","5669363","5670295","+","0.33","933","311","inner-membrane translocator","113477165","4243867","-"
"Tery_3693","638108640","5670688","5672076","-","0.38","1389","463","cytochrome P450","113477166","4243868","-"
"Tery_3694","638108641","5672396","5674945","+","0.38","2550","850","glycogen/starch/alpha-glucan phosphorylases( EC:2.4.1.1 )","113477167","4243869","-"
"Tery_3695","639331724","5675642","5676317","+","0.33","676","225.3333333","-","-","-","-"
"Tery_3696","638108642","5676807","5678192","-","0.41","1386","462","O-antigen polymerase","113477168","4243871","-"
"Tery_3697","638108643","5678844","5680253","-","0.38","1410","470","Phospholipid/glycerol acyltransferase","113477169","4243872","-"
"Tery_3698","639331725","5681654","5682028","-","0.36","375","125","-","-","-","-"
"Tery_3699","638108644","5683138","5684619","+","0.38","1482","494","amidophosphoribosyltransferase( EC:2.4.2.14 )","113477170","4243874","-"
"Tery_3700","638108645","5685988","5686614","-","0.42","627","209","protein of unknown function DUF564","113477171","4243875","-"
"Tery_3701","638108646","5687118","5688737","+","0.29","1620","540","hypothetical protein","113477172","4243876","-"
"Tery_3702","638108647","5689609","5690343","+","0.3","735","245","hypothetical protein","113477173","4243877","-"
"Tery_3703","638108648","5690362","5691576","+","0.3","1215","405","hypothetical protein","113477174","4243878","-"
"Tery_3704","638108649","5692467","5692793","-","0.31","327","109","COG3385: FOG: Transposase and inactivated derivatives","113477175","4243879","-"
"Tery_R0037","640717065","5694355","5694435","-","0.59","81","-","tRNA-Leu-GAG ","-","4243882","-"
"Tery_3707","638108653","5694717","5696072","+","0.44","1356","452","acetyl-CoA carboxylase, biotin carboxylase( EC:6.4.1.2 )","113477178","4243883","-"
"Tery_3708","638108654","5696581","5696865","-","0.36","285","95","protein of unknown function YGGT","113477179","4243884","-"
"Tery_3709","638108655","5697711","5698598","+","0.41","888","296","Ycf66-like","113477180","4243885","-"
"Tery_3710","638108656","5699408","5700592","+","0.34","1185","395","peptidase S1 and S6, chymotrypsin/Hap","113477181","4243886","-"
"Tery_3711","638108657","5701248","5701946","+","0.38","699","233","peptidase-like","113477182","4243887","-"
"Tery_3712","638108658","5702511","5702855","+","0.35","345","115","hypothetical protein","113477183","4243888","-"
"Tery_3713","638108659","5702852","5703775","+","0.35","924","308","Trypsin-like serine protease typically periplasmic contain C-terminal PDZ domain-like protein","113477184","4243889","-"
"Tery_3714","638108660","5703805","5704041","+","0.28","237","79","hypothetical protein","113477185","4243890","-"
"Tery_3715","639331726","5704071","5704307","+","0.25","237","79","-","-","-","-"
"Tery_3716","638108661","5704608","5705693","+","0.28","1086","362","hypothetical protein","113477186","4243892","-"
"Tery_3717","638108662","5705712","5706707","+","0.31","996","332","ATPase-like protein","113477187","4243893","-"
"Tery_3718","638108663","5706775","5707839","+","0.34","1065","355","VWA containing CoxE family protein","113477188","4243894","-"
"Tery_3719","638108664","5707847","5709430","+","0.36","1584","528","protein of unknown function DUF323","113477189","4243895","-"
"Tery_3720","639331727","5709936","5710521","-","0.33","586","195.3333333","-","-","-","-"
"Tery_3721","638108665","5710528","5710809","-","0.34","282","94","hypothetical protein","113477190","4243897","-"
"Tery_3722","638108666","5710816","5711097","-","0.33","282","94","hypothetical protein","113477191","4243898","-"
"Tery_3723","638108667","5711369","5711677","-","0.34","309","103","hypothetical protein","113477192","4243899","-"
"Tery_3724","639331728","5712506","5712754","-","0.35","249","83","-","-","-","-"
"Tery_3725","638108668","5712913","5713839","-","0.34","927","309","Beta-N-acetylhexosaminidase( EC:3.2.1.52 )","113477193","4243901","-"
"Tery_3726","638108669","5714303","5715343","-","0.36","1041","347","succinate dehydrogenase and fumarate reductase iron-sulfur protein( EC:1.3.99.1 )","113477194","4243902","-"
"Tery_3727","638108670","5715997","5716530","+","0.36","534","178","RDD domain containing protein","113477195","4243903","-"
"Tery_3728","638108671","5716569","5716757","+","0.31","189","63","ribosomal protein L33","113477196","4243904","rpmG"
"Tery_3730","638108673","5717512","5719536","+","0.4","2025","675","Exoribonuclease II( EC:3.1.13.1 )","113477198","4243906","-"
"Tery_3731","638108674","5722164","5722937","-","0.4","774","258","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase( EC:5.3.1.16 )","113477199","4243907","-"
"Tery_3732","638108675","5726339","5727826","-","0.4","1488","496","DEAD/DEAH box helicase-like","113477200","4243908","-"
"Tery_3733","638108676","5730128","5731453","-","0.4","1326","442","MiaB-like tRNA modifying enzyme YliG","113477201","4243909","-"
"Tery_3734","638108677","5732789","5733697","+","0.35","909","303","OmpA/MotB","113477202","4243910","-"
"Tery_3735","638108678","5733996","5734433","+","0.31","438","146","NUDIX hydrolase( EC:3.6.1.- )","113477203","4243911","-"
"Tery_3736","639331729","5734717","5735037","-","0.29","321","107","-","-","-","-"
"Tery_3737","639331730","5736123","5736596","-","0.28","474","158","-","-","-","-"
"Tery_3738","638108679","5736617","5736991","-","0.26","375","125","conserved hypothetical protein","113477204","4243914","-"
"Tery_3742","638108682","5738385","5738735","+","0.38","351","117","hypothetical protein","113477207","4243918","-"
"Tery_R0039","640717067","5741588","5741659","+","0.6","72","-","tRNA-Thr-GGT ","-","4243920","-"
"Tery_3743","638108685","5743982","5744932","+","0.36","951","317","unnamed protein product; Similar to tr|P74588|P74588 [Synechocystis_sp._(strain_PCC_6803)._] Slr1557 protein","113477208","4243691","-"
"Tery_3744","638108686","5745694","5746383","+","0.32","690","230","conserved hypothetical protein","113477209","4243692","-"
"Tery_3745","638108687","5747003","5747629","-","0.41","627","209","Precorrin-8X methylmutase CbiC/CobH( EC:5.4.1.2 )","113477210","4243693","-"
"Tery_3746","638108688","5748621","5749274","-","0.36","654","218","ABC transporter related","113477211","4243694","-"
"Tery_3747","639331732","5749299","5749742","+","0.36","444","148","-","-","-","-"
"Tery_3748","638108689","5749799","5750809","+","0.33","1011","337","Tetratricopeptide TPR_2","113477212","4243696","-"
"Tery_3749","638108690","5751287","5751739","+","0.33","453","151","conserved hypothetical protein","113477213","4243697","-"
"Tery_3750","638108691","5751773","5752204","+","0.32","432","144","NUDIX hydrolase","113477214","4243698","-"
"Tery_3751","638108692","5752208","5752822","+","0.28","615","205","Tetratricopeptide TPR_2","113477215","4243699","-"
"Tery_3752","638108693","5752994","5753275","+","0.3","282","94","conserved hypothetical protein","113477216","4243700","-"
"Tery_3753","638108694","5754717","5762189","-","0.33","7473","2491","Methyltransferase type 11","113477217","4243701","-"
"Tery_3754","638108695","5762330","5764039","-","0.32","1710","570","methyltransferase FkbM family","113477218","4243702","-"
"Tery_3755","638108696","5764286","5766127","+","0.44","1842","614","ATP-dependent metalloprotease FtsH( EC:3.4.24.- )","113477219","4243703","-"
"Tery_3756","638108697","5771232","5771591","+","0.34","360","120","integrins alpha chain","113477220","4243704","-"
"Tery_3757","638108698","5772259","5773647","-","0.39","1389","463","2-isopropylmalate synthase( EC:2.3.3.13 )","113477221","4243705","-"
"Tery_3758","638108699","5774037","5774372","-","0.34","336","112","3-oxoacyl-(acyl-carrier protein) reductase","113477222","4243706","-"
"Tery_3759","638108700","5775407","5777149","-","0.33","1743","581","conserved hypothetical protein","113477223","4243707","-"
"Tery_3760","639331733","5778298","5778638","-","0.26","341","113.6666667","-","-","-","-"
"Tery_3762","638108702","5784151","5784537","+","0.36","387","129","conserved hypothetical protein","113477225","4243710","-"
"Tery_3763","639331734","5784873","5785127","+","0.35","255","85","-","-","-","-"
"Tery_3764","639331735","5785827","5786138","+","0.32","312","104","-","-","-","-"
"Tery_3765","638108703","5787328","5788164","-","0.39","837","279","phosphomethylpyrimidine kinase( EC:2.7.4.7 )","113477226","4243713","-"
"Tery_3766","638108704","5788222","5789493","-","0.4","1272","424","cell division protein FtsZ","113477227","4243714","-"
"Tery_3767","638108705","5789683","5790519","-","0.34","837","279","Polypeptide-transport-associated, FtsQ-type","113477228","4243715","-"
"Tery_3768","639331736","5791087","5791419","+","0.32","333","111","-","-","-","-"
"Tery_3769","638108706","5791529","5791933","+","0.32","405","135","putative transposase gene of IS630 family insertion sequence ISY100h","113477229","4243717","-"
"Tery_3770","638108707","5792469","5793836","+","0.35","1368","456","COG1066: Predicted ATP-dependent serine protease","113477230","4243718","-"
"Tery_3771","638108708","5793963","5799539","+","0.32","5577","1859","WD-40 repeat","113477231","4243719","-"
"Tery_3772","638108709","5800918","5801685","+","0.3","768","256","methyltransferase GidB( EC:2.1.- )","113477232","4243720","gidB"
"Tery_3773","638108710","5802383","5802817","-","0.36","435","145","nitrogenase-associated protein","113477233","4243721","-"
"Tery_3774","639331737","5803068","5803442","+","0.25","375","125","-","-","-","-"
"Tery_3775","638108711","5804180","5804863","+","0.36","684","228","pentapeptide repeat","113477234","4243723","-"
"Tery_3776","638108712","5805541","5806308","+","0.34","768","256","pentapeptide repeat","113477235","4243724","-"
"Tery_3777","638108713","5806790","5807896","-","0.37","1107","369","geranylgeranyl reductase","113477236","4243725","-"
"Tery_3778","638108714","5808254","5808802","-","0.35","549","183","ribosome recycling factor","113477237","4243726","frr"
"Tery_3779","638108715","5808783","5809517","-","0.44","735","245","uridylate kinase( EC:2.7.4.22 )","113477238","4243727","pyrH"
"Tery_3780","638108716","5810073","5810984","-","0.34","912","304","putative agmatinase( EC:3.5.3.11 )","113477239","4243728","-"
"Tery_3781","638108717","5811234","5812115","+","0.38","882","294","alpha/beta hydrolase fold","113477240","4243729","-"
"Tery_3782","638108718","5813074","5815104","-","0.32","2031","677","ABC transporter related","113477241","4243730","-"
"Tery_3783","638108719","5815168","5816352","-","0.35","1185","395","glycosyl transferase, group 1","113477242","4243731","-"
"Tery_3784","638108720","5816905","5817705","-","0.37","801","267","Dolichyl-phosphate beta-D-mannosyltransferase( EC:2.4.1.83 )","113477243","4243732","-"
"Tery_3785","638108721","5817998","5818210","-","0.29","213","71","conserved hypothetical protein","113477244","4243733","-"
"Tery_3786","638108722","5818499","5819272","+","0.4","774","258","Hydroxyacylglutathione hydrolase( EC:3.1.2.6 )","113477245","4243734","-"
"Tery_3788","638108723","5820851","5821168","+","0.39","318","106","conserved hypothetical protein","113477246","4243736","-"
"Tery_3789","638108724","5821580","5821897","+","0.39","318","106","conserved hypothetical protein","113477247","4243737","-"
"Tery_3790","638108725","5823462","5825531","+","0.38","2070","690","GAF sensor signal transduction histidine kinase","113477248","4243738","-"
"Tery_3791","638108726","5825984","5826412","+","0.43","429","143","photosystem I protein PsaD","113477249","4243739","-"
"Tery_3792","638108727","5826805","5828340","+","0.4","1536","512","anthranilate synthase component I( EC:4.1.3.27 )","113477250","4243740","-"
"Tery_3793","638108728","5828485","5829816","+","0.35","1332","444","Pheophorbide a oxygenase","113477251","4243741","-"
"Tery_3794","638108729","5830592","5831986","-","0.4","1395","465","Carotenoid oxygenase","113477252","4243742","-"
"Tery_3795","638108730","5832272","5832598","-","0.38","327","109","protein of unknown function DUF74","113477253","4243743","-"
